ID	TYPE	LEN	PW1_NAME	PW1_ROUTE	PW1_ROUTE_GENES
322	P1	6	Cell cycle	['n52', 'n99', 'n34', 'n108', 'n94', 'n116']	['TGFB1', 'TGFB2', 'TGFB3', 'SMAD4', 'SMAD2', 'SMAD3', 'CDKN1A', 'CDK4', 'CDK6', 'CCND1', 'CCND2', 'CCND3', 'RB1', 'TFDP1', 'TFDP2', 'E2F1', 'E2F2', 'E2F3']
323	P1	8	Cell cycle	['n52', 'n99', 'n34', 'n100', 'n50', 'n102', 'n60', 'n4']	['TGFB1', 'TGFB2', 'TGFB3', 'SMAD4', 'SMAD2', 'SMAD3', 'CDKN1A', 'CDK2', 'CCNE1', 'CCNE2', 'CDKN1B', 'CDKN1C', 'CDK2', 'CCNA2', 'CCNA1', 'CDC6', 'ORC6', 'ORC3', 'ORC1', 'ORC2', 'ORC4', 'ORC5']
324	P1	8	Cell cycle	['n52', 'n99', 'n34', 'n100', 'n50', 'n102', 'n94', 'n116']	['TGFB1', 'TGFB2', 'TGFB3', 'SMAD4', 'SMAD2', 'SMAD3', 'CDKN1A', 'CDK2', 'CCNE1', 'CCNE2', 'CDKN1B', 'CDKN1C', 'CDK2', 'CCNA2', 'CCNA1', 'RB1', 'TFDP1', 'TFDP2', 'E2F1', 'E2F2', 'E2F3']
325	P1	7	Cell cycle	['n52', 'n99', 'n34', 'n100', 'n50', 'n102', 'n92']	['TGFB1', 'TGFB2', 'TGFB3', 'SMAD4', 'SMAD2', 'SMAD3', 'CDKN1A', 'CDK2', 'CCNE1', 'CCNE2', 'CDKN1B', 'CDKN1C', 'CDK2', 'CCNA2', 'CCNA1', 'E2F1', 'E2F2', 'E2F3']
326	P1	6	Cell cycle	['n52', 'n99', 'n34', 'n100', 'n94', 'n116']	['TGFB1', 'TGFB2', 'TGFB3', 'SMAD4', 'SMAD2', 'SMAD3', 'CDKN1A', 'CDK2', 'CCNE1', 'CCNE2', 'RB1', 'TFDP1', 'TFDP2', 'E2F1', 'E2F2', 'E2F3']
327	P1	6	Cell cycle	['n52', 'n99', 'n34', 'n102', 'n60', 'n4']	['TGFB1', 'TGFB2', 'TGFB3', 'SMAD4', 'SMAD2', 'SMAD3', 'CDKN1A', 'CDK2', 'CCNA2', 'CCNA1', 'CDC6', 'ORC6', 'ORC3', 'ORC1', 'ORC2', 'ORC4', 'ORC5']
328	P1	6	Cell cycle	['n52', 'n99', 'n34', 'n102', 'n94', 'n116']	['TGFB1', 'TGFB2', 'TGFB3', 'SMAD4', 'SMAD2', 'SMAD3', 'CDKN1A', 'CDK2', 'CCNA2', 'CCNA1', 'RB1', 'TFDP1', 'TFDP2', 'E2F1', 'E2F2', 'E2F3']
329	P1	5	Cell cycle	['n52', 'n99', 'n34', 'n102', 'n92']	['TGFB1', 'TGFB2', 'TGFB3', 'SMAD4', 'SMAD2', 'SMAD3', 'CDKN1A', 'CDK2', 'CCNA2', 'CCNA1', 'E2F1', 'E2F2', 'E2F3']
330	P1	7	Cell cycle	['n404', 'n25', 'n49', 'n34', 'n108', 'n95', 'n115']	['n404', 'ATM', 'ATR', 'TP53', 'CDKN1A', 'CDK4', 'CDK6', 'CCND1', 'CCND2', 'CCND3', 'RBL1', 'RBL2', 'TFDP1', 'TFDP2', 'E2F4', 'E2F5']
331	P1	7	Cell cycle	['n404', 'n25', 'n49', 'n34', 'n108', 'n94', 'n116']	['n404', 'ATM', 'ATR', 'TP53', 'CDKN1A', 'CDK4', 'CDK6', 'CCND1', 'CCND2', 'CCND3', 'RB1', 'TFDP1', 'TFDP2', 'E2F1', 'E2F2', 'E2F3']
332	P1	9	Cell cycle	['n404', 'n25', 'n49', 'n34', 'n100', 'n50', 'n102', 'n60', 'n4']	['n404', 'ATM', 'ATR', 'TP53', 'CDKN1A', 'CDK2', 'CCNE1', 'CCNE2', 'CDKN1B', 'CDKN1C', 'CDK2', 'CCNA2', 'CCNA1', 'CDC6', 'ORC6', 'ORC3', 'ORC1', 'ORC2', 'ORC4', 'ORC5']
333	P1	9	Cell cycle	['n404', 'n25', 'n49', 'n34', 'n100', 'n50', 'n102', 'n94', 'n116']	['n404', 'ATM', 'ATR', 'TP53', 'CDKN1A', 'CDK2', 'CCNE1', 'CCNE2', 'CDKN1B', 'CDKN1C', 'CDK2', 'CCNA2', 'CCNA1', 'RB1', 'TFDP1', 'TFDP2', 'E2F1', 'E2F2', 'E2F3']
334	P1	8	Cell cycle	['n404', 'n25', 'n49', 'n34', 'n100', 'n50', 'n102', 'n92']	['n404', 'ATM', 'ATR', 'TP53', 'CDKN1A', 'CDK2', 'CCNE1', 'CCNE2', 'CDKN1B', 'CDKN1C', 'CDK2', 'CCNA2', 'CCNA1', 'E2F1', 'E2F2', 'E2F3']
335	P1	7	Cell cycle	['n404', 'n25', 'n49', 'n34', 'n100', 'n94', 'n116']	['n404', 'ATM', 'ATR', 'TP53', 'CDKN1A', 'CDK2', 'CCNE1', 'CCNE2', 'RB1', 'TFDP1', 'TFDP2', 'E2F1', 'E2F2', 'E2F3']
336	P1	7	Cell cycle	['n404', 'n25', 'n49', 'n34', 'n102', 'n60', 'n4']	['n404', 'ATM', 'ATR', 'TP53', 'CDKN1A', 'CDK2', 'CCNA2', 'CCNA1', 'CDC6', 'ORC6', 'ORC3', 'ORC1', 'ORC2', 'ORC4', 'ORC5']
337	P1	7	Cell cycle	['n404', 'n25', 'n49', 'n34', 'n102', 'n94', 'n116']	['n404', 'ATM', 'ATR', 'TP53', 'CDKN1A', 'CDK2', 'CCNA2', 'CCNA1', 'RB1', 'TFDP1', 'TFDP2', 'E2F1', 'E2F2', 'E2F3']
338	P1	6	Cell cycle	['n404', 'n25', 'n49', 'n34', 'n102', 'n92']	['n404', 'ATM', 'ATR', 'TP53', 'CDKN1A', 'CDK2', 'CCNA2', 'CCNA1', 'E2F1', 'E2F2', 'E2F3']
339	P1	8	Cell cycle	['n404', 'n25', 'n49', 'n47', 'n23', 'n108', 'n95', 'n115']	['n404', 'ATM', 'ATR', 'TP53', 'GADD45G', 'GADD45A', 'GADD45B', 'PCNA', 'CDK4', 'CDK6', 'CCND1', 'CCND2', 'CCND3', 'RBL1', 'RBL2', 'TFDP1', 'TFDP2', 'E2F4', 'E2F5']
340	P1	8	Cell cycle	['n404', 'n25', 'n49', 'n47', 'n23', 'n108', 'n94', 'n116']	['n404', 'ATM', 'ATR', 'TP53', 'GADD45G', 'GADD45A', 'GADD45B', 'PCNA', 'CDK4', 'CDK6', 'CCND1', 'CCND2', 'CCND3', 'RB1', 'TFDP1', 'TFDP2', 'E2F1', 'E2F2', 'E2F3']
341	P1	8	Cell cycle	['n404', 'n25', 'n33', 'n49', 'n34', 'n108', 'n95', 'n115']	['n404', 'ATM', 'ATR', 'CHEK1', 'CHEK2', 'TP53', 'CDKN1A', 'CDK4', 'CDK6', 'CCND1', 'CCND2', 'CCND3', 'RBL1', 'RBL2', 'TFDP1', 'TFDP2', 'E2F4', 'E2F5']
342	P1	8	Cell cycle	['n404', 'n25', 'n33', 'n49', 'n34', 'n108', 'n94', 'n116']	['n404', 'ATM', 'ATR', 'CHEK1', 'CHEK2', 'TP53', 'CDKN1A', 'CDK4', 'CDK6', 'CCND1', 'CCND2', 'CCND3', 'RB1', 'TFDP1', 'TFDP2', 'E2F1', 'E2F2', 'E2F3']
343	P1	10	Cell cycle	['n404', 'n25', 'n33', 'n49', 'n34', 'n100', 'n50', 'n102', 'n60', 'n4']	['n404', 'ATM', 'ATR', 'CHEK1', 'CHEK2', 'TP53', 'CDKN1A', 'CDK2', 'CCNE1', 'CCNE2', 'CDKN1B', 'CDKN1C', 'CDK2', 'CCNA2', 'CCNA1', 'CDC6', 'ORC6', 'ORC3', 'ORC1', 'ORC2', 'ORC4', 'ORC5']
344	P1	10	Cell cycle	['n404', 'n25', 'n33', 'n49', 'n34', 'n100', 'n50', 'n102', 'n94', 'n116']	['n404', 'ATM', 'ATR', 'CHEK1', 'CHEK2', 'TP53', 'CDKN1A', 'CDK2', 'CCNE1', 'CCNE2', 'CDKN1B', 'CDKN1C', 'CDK2', 'CCNA2', 'CCNA1', 'RB1', 'TFDP1', 'TFDP2', 'E2F1', 'E2F2', 'E2F3']
345	P1	9	Cell cycle	['n404', 'n25', 'n33', 'n49', 'n34', 'n100', 'n50', 'n102', 'n92']	['n404', 'ATM', 'ATR', 'CHEK1', 'CHEK2', 'TP53', 'CDKN1A', 'CDK2', 'CCNE1', 'CCNE2', 'CDKN1B', 'CDKN1C', 'CDK2', 'CCNA2', 'CCNA1', 'E2F1', 'E2F2', 'E2F3']
346	P1	8	Cell cycle	['n404', 'n25', 'n33', 'n49', 'n34', 'n100', 'n94', 'n116']	['n404', 'ATM', 'ATR', 'CHEK1', 'CHEK2', 'TP53', 'CDKN1A', 'CDK2', 'CCNE1', 'CCNE2', 'RB1', 'TFDP1', 'TFDP2', 'E2F1', 'E2F2', 'E2F3']
347	P1	8	Cell cycle	['n404', 'n25', 'n33', 'n49', 'n34', 'n102', 'n60', 'n4']	['n404', 'ATM', 'ATR', 'CHEK1', 'CHEK2', 'TP53', 'CDKN1A', 'CDK2', 'CCNA2', 'CCNA1', 'CDC6', 'ORC6', 'ORC3', 'ORC1', 'ORC2', 'ORC4', 'ORC5']
348	P1	8	Cell cycle	['n404', 'n25', 'n33', 'n49', 'n34', 'n102', 'n94', 'n116']	['n404', 'ATM', 'ATR', 'CHEK1', 'CHEK2', 'TP53', 'CDKN1A', 'CDK2', 'CCNA2', 'CCNA1', 'RB1', 'TFDP1', 'TFDP2', 'E2F1', 'E2F2', 'E2F3']
349	P1	7	Cell cycle	['n404', 'n25', 'n33', 'n49', 'n34', 'n102', 'n92']	['n404', 'ATM', 'ATR', 'CHEK1', 'CHEK2', 'TP53', 'CDKN1A', 'CDK2', 'CCNA2', 'CCNA1', 'E2F1', 'E2F2', 'E2F3']
350	P1	9	Cell cycle	['n404', 'n25', 'n33', 'n49', 'n47', 'n23', 'n108', 'n95', 'n115']	['n404', 'ATM', 'ATR', 'CHEK1', 'CHEK2', 'TP53', 'GADD45G', 'GADD45A', 'GADD45B', 'PCNA', 'CDK4', 'CDK6', 'CCND1', 'CCND2', 'CCND3', 'RBL1', 'RBL2', 'TFDP1', 'TFDP2', 'E2F4', 'E2F5']
351	P1	9	Cell cycle	['n404', 'n25', 'n33', 'n49', 'n47', 'n23', 'n108', 'n94', 'n116']	['n404', 'ATM', 'ATR', 'CHEK1', 'CHEK2', 'TP53', 'GADD45G', 'GADD45A', 'GADD45B', 'PCNA', 'CDK4', 'CDK6', 'CCND1', 'CCND2', 'CCND3', 'RB1', 'TFDP1', 'TFDP2', 'E2F1', 'E2F2', 'E2F3']
352	P1	7	Cell cycle	['n404', 'n35', 'n49', 'n34', 'n108', 'n95', 'n115']	['n404', 'PRKDC', 'TP53', 'CDKN1A', 'CDK4', 'CDK6', 'CCND1', 'CCND2', 'CCND3', 'RBL1', 'RBL2', 'TFDP1', 'TFDP2', 'E2F4', 'E2F5']
353	P1	7	Cell cycle	['n404', 'n35', 'n49', 'n34', 'n108', 'n94', 'n116']	['n404', 'PRKDC', 'TP53', 'CDKN1A', 'CDK4', 'CDK6', 'CCND1', 'CCND2', 'CCND3', 'RB1', 'TFDP1', 'TFDP2', 'E2F1', 'E2F2', 'E2F3']
354	P1	9	Cell cycle	['n404', 'n35', 'n49', 'n34', 'n100', 'n50', 'n102', 'n60', 'n4']	['n404', 'PRKDC', 'TP53', 'CDKN1A', 'CDK2', 'CCNE1', 'CCNE2', 'CDKN1B', 'CDKN1C', 'CDK2', 'CCNA2', 'CCNA1', 'CDC6', 'ORC6', 'ORC3', 'ORC1', 'ORC2', 'ORC4', 'ORC5']
355	P1	9	Cell cycle	['n404', 'n35', 'n49', 'n34', 'n100', 'n50', 'n102', 'n94', 'n116']	['n404', 'PRKDC', 'TP53', 'CDKN1A', 'CDK2', 'CCNE1', 'CCNE2', 'CDKN1B', 'CDKN1C', 'CDK2', 'CCNA2', 'CCNA1', 'RB1', 'TFDP1', 'TFDP2', 'E2F1', 'E2F2', 'E2F3']
356	P1	8	Cell cycle	['n404', 'n35', 'n49', 'n34', 'n100', 'n50', 'n102', 'n92']	['n404', 'PRKDC', 'TP53', 'CDKN1A', 'CDK2', 'CCNE1', 'CCNE2', 'CDKN1B', 'CDKN1C', 'CDK2', 'CCNA2', 'CCNA1', 'E2F1', 'E2F2', 'E2F3']
357	P1	7	Cell cycle	['n404', 'n35', 'n49', 'n34', 'n100', 'n94', 'n116']	['n404', 'PRKDC', 'TP53', 'CDKN1A', 'CDK2', 'CCNE1', 'CCNE2', 'RB1', 'TFDP1', 'TFDP2', 'E2F1', 'E2F2', 'E2F3']
358	P1	7	Cell cycle	['n404', 'n35', 'n49', 'n34', 'n102', 'n60', 'n4']	['n404', 'PRKDC', 'TP53', 'CDKN1A', 'CDK2', 'CCNA2', 'CCNA1', 'CDC6', 'ORC6', 'ORC3', 'ORC1', 'ORC2', 'ORC4', 'ORC5']
359	P1	7	Cell cycle	['n404', 'n35', 'n49', 'n34', 'n102', 'n94', 'n116']	['n404', 'PRKDC', 'TP53', 'CDKN1A', 'CDK2', 'CCNA2', 'CCNA1', 'RB1', 'TFDP1', 'TFDP2', 'E2F1', 'E2F2', 'E2F3']
360	P1	6	Cell cycle	['n404', 'n35', 'n49', 'n34', 'n102', 'n92']	['n404', 'PRKDC', 'TP53', 'CDKN1A', 'CDK2', 'CCNA2', 'CCNA1', 'E2F1', 'E2F2', 'E2F3']
361	P1	8	Cell cycle	['n404', 'n35', 'n49', 'n47', 'n23', 'n108', 'n95', 'n115']	['n404', 'PRKDC', 'TP53', 'GADD45G', 'GADD45A', 'GADD45B', 'PCNA', 'CDK4', 'CDK6', 'CCND1', 'CCND2', 'CCND3', 'RBL1', 'RBL2', 'TFDP1', 'TFDP2', 'E2F4', 'E2F5']
362	P1	8	Cell cycle	['n404', 'n35', 'n49', 'n47', 'n23', 'n108', 'n94', 'n116']	['n404', 'PRKDC', 'TP53', 'GADD45G', 'GADD45A', 'GADD45B', 'PCNA', 'CDK4', 'CDK6', 'CCND1', 'CCND2', 'CCND3', 'RB1', 'TFDP1', 'TFDP2', 'E2F1', 'E2F2', 'E2F3']
363	P2	7	Cell cycle	['n117', 'n88', 'n89', 'n51', 'n108', 'n95', 'n115']	['RBL1', 'E2F4', 'E2F5', 'TFDP1', 'TFDP2', 'MYC', 'ZBTB17', 'CDKN2B', 'CDK4', 'CDK6', 'CCND1', 'CCND2', 'CCND3', 'RBL1', 'RBL2', 'TFDP1', 'TFDP2', 'E2F4', 'E2F5']
364	P2	7	Cell cycle	['n117', 'n88', 'n89', 'n51', 'n108', 'n94', 'n116']	['RBL1', 'E2F4', 'E2F5', 'TFDP1', 'TFDP2', 'MYC', 'ZBTB17', 'CDKN2B', 'CDK4', 'CDK6', 'CCND1', 'CCND2', 'CCND3', 'RB1', 'TFDP1', 'TFDP2', 'E2F1', 'E2F2', 'E2F3']
365	P1	3	Cellular senescence	['n87', 'n91', 'n88']	['TGFB1', 'TGFB2', 'TGFB3', 'TGFBR1', 'TGFBR2', 'SMAD2', 'SMAD3']
366	P2	7	Cellular senescence	['n4', 'n6', 'n7', 'n8', 'n25', 'n114', 'n36']	['MYC', 'CDKN2A', 'MDM2', 'TP53', 'CDKN1A', 'CDK2', 'CCNA2', 'CCNA1', 'MYBL2']
367	P2	9	Cellular senescence	['n4', 'n6', 'n7', 'n8', 'n25', 'n115', 'n28', 'n29', 'n36']	['MYC', 'CDKN2A', 'MDM2', 'TP53', 'CDKN1A', 'CDK2', 'CCNE1', 'CCNE2', 'RB1', 'RBL1', 'RBL2', 'E2F1', 'E2F2', 'E2F3', 'E2F4', 'E2F5', 'MYBL2']
368	P2	9	Cellular senescence	['n4', 'n6', 'n7', 'n8', 'n25', 'n115', 'n28', 'n29', 'n37']	['MYC', 'CDKN2A', 'MDM2', 'TP53', 'CDKN1A', 'CDK2', 'CCNE1', 'CCNE2', 'RB1', 'RBL1', 'RBL2', 'E2F1', 'E2F2', 'E2F3', 'E2F4', 'E2F5', 'FOXM1']
369	P2	9	Cellular senescence	['n4', 'n6', 'n7', 'n8', 'n25', 'n118', 'n28', 'n29', 'n36']	['MYC', 'CDKN2A', 'MDM2', 'TP53', 'CDKN1A', 'CDK4', 'CDK6', 'CCND1', 'CCND2', 'CCND3', 'RB1', 'RBL1', 'RBL2', 'E2F1', 'E2F2', 'E2F3', 'E2F4', 'E2F5', 'MYBL2']
370	P2	9	Cellular senescence	['n4', 'n6', 'n7', 'n8', 'n25', 'n118', 'n28', 'n29', 'n37']	['MYC', 'CDKN2A', 'MDM2', 'TP53', 'CDKN1A', 'CDK4', 'CDK6', 'CCND1', 'CCND2', 'CCND3', 'RB1', 'RBL1', 'RBL2', 'E2F1', 'E2F2', 'E2F3', 'E2F4', 'E2F5', 'FOXM1']
371	P2	4	Cellular senescence	['n8', 'n25', 'n114', 'n36']	['TP53', 'CDKN1A', 'CDK2', 'CCNA2', 'CCNA1', 'MYBL2']
372	P2	6	Cellular senescence	['n8', 'n25', 'n115', 'n28', 'n29', 'n36']	['TP53', 'CDKN1A', 'CDK2', 'CCNE1', 'CCNE2', 'RB1', 'RBL1', 'RBL2', 'E2F1', 'E2F2', 'E2F3', 'E2F4', 'E2F5', 'MYBL2']
373	P2	6	Cellular senescence	['n8', 'n25', 'n115', 'n28', 'n29', 'n37']	['TP53', 'CDKN1A', 'CDK2', 'CCNE1', 'CCNE2', 'RB1', 'RBL1', 'RBL2', 'E2F1', 'E2F2', 'E2F3', 'E2F4', 'E2F5', 'FOXM1']
374	P2	6	Cellular senescence	['n8', 'n25', 'n118', 'n28', 'n29', 'n36']	['TP53', 'CDKN1A', 'CDK4', 'CDK6', 'CCND1', 'CCND2', 'CCND3', 'RB1', 'RBL1', 'RBL2', 'E2F1', 'E2F2', 'E2F3', 'E2F4', 'E2F5', 'MYBL2']
375	P2	6	Cellular senescence	['n8', 'n25', 'n118', 'n28', 'n29', 'n37']	['TP53', 'CDKN1A', 'CDK4', 'CDK6', 'CCND1', 'CCND2', 'CCND3', 'RB1', 'RBL1', 'RBL2', 'E2F1', 'E2F2', 'E2F3', 'E2F4', 'E2F5', 'FOXM1']
376	P2	4	Cellular senescence	['n15', 'n25', 'n114', 'n36']	['FOXO3', 'CDKN1A', 'CDK2', 'CCNA2', 'CCNA1', 'MYBL2']
377	P2	6	Cellular senescence	['n15', 'n25', 'n115', 'n28', 'n29', 'n36']	['FOXO3', 'CDKN1A', 'CDK2', 'CCNE1', 'CCNE2', 'RB1', 'RBL1', 'RBL2', 'E2F1', 'E2F2', 'E2F3', 'E2F4', 'E2F5', 'MYBL2']
378	P2	6	Cellular senescence	['n15', 'n25', 'n115', 'n28', 'n29', 'n37']	['FOXO3', 'CDKN1A', 'CDK2', 'CCNE1', 'CCNE2', 'RB1', 'RBL1', 'RBL2', 'E2F1', 'E2F2', 'E2F3', 'E2F4', 'E2F5', 'FOXM1']
379	P2	6	Cellular senescence	['n15', 'n25', 'n118', 'n28', 'n29', 'n36']	['FOXO3', 'CDKN1A', 'CDK4', 'CDK6', 'CCND1', 'CCND2', 'CCND3', 'RB1', 'RBL1', 'RBL2', 'E2F1', 'E2F2', 'E2F3', 'E2F4', 'E2F5', 'MYBL2']
380	P2	6	Cellular senescence	['n15', 'n25', 'n118', 'n28', 'n29', 'n37']	['FOXO3', 'CDKN1A', 'CDK4', 'CDK6', 'CCND1', 'CCND2', 'CCND3', 'RB1', 'RBL1', 'RBL2', 'E2F1', 'E2F2', 'E2F3', 'E2F4', 'E2F5', 'FOXM1']
381	P2	6	Cellular senescence	['n19', 'n24', 'n118', 'n28', 'n29', 'n36']	['ETS1', 'CDKN2A', 'CDK4', 'CDK6', 'CCND1', 'CCND2', 'CCND3', 'RB1', 'RBL1', 'RBL2', 'E2F1', 'E2F2', 'E2F3', 'E2F4', 'E2F5', 'MYBL2']
382	P2	6	Cellular senescence	['n19', 'n24', 'n118', 'n28', 'n29', 'n37']	['ETS1', 'CDKN2A', 'CDK4', 'CDK6', 'CCND1', 'CCND2', 'CCND3', 'RB1', 'RBL1', 'RBL2', 'E2F1', 'E2F2', 'E2F3', 'E2F4', 'E2F5', 'FOXM1']
383	P2	2	Cellular senescence	['n29', 'n36']	['E2F1', 'E2F2', 'E2F3', 'E2F4', 'E2F5', 'MYBL2']
384	P2	2	Cellular senescence	['n29', 'n37']	['E2F1', 'E2F2', 'E2F3', 'E2F4', 'E2F5', 'FOXM1']
385	P2	3	Cellular senescence	['n31', 'n45', 'n111']	['TP53', 'GADD45G', 'GADD45A', 'GADD45B', 'CDK1', 'CCNB3', 'CCNB1', 'CCNB2']
386	P2	4	Cellular senescence	['n31', 'n25', 'n114', 'n36']	['TP53', 'CDKN1A', 'CDK2', 'CCNA2', 'CCNA1', 'MYBL2']
387	P2	6	Cellular senescence	['n31', 'n25', 'n115', 'n28', 'n29', 'n36']	['TP53', 'CDKN1A', 'CDK2', 'CCNE1', 'CCNE2', 'RB1', 'RBL1', 'RBL2', 'E2F1', 'E2F2', 'E2F3', 'E2F4', 'E2F5', 'MYBL2']
388	P2	6	Cellular senescence	['n31', 'n25', 'n115', 'n28', 'n29', 'n37']	['TP53', 'CDKN1A', 'CDK2', 'CCNE1', 'CCNE2', 'RB1', 'RBL1', 'RBL2', 'E2F1', 'E2F2', 'E2F3', 'E2F4', 'E2F5', 'FOXM1']
389	P2	6	Cellular senescence	['n31', 'n25', 'n118', 'n28', 'n29', 'n36']	['TP53', 'CDKN1A', 'CDK4', 'CDK6', 'CCND1', 'CCND2', 'CCND3', 'RB1', 'RBL1', 'RBL2', 'E2F1', 'E2F2', 'E2F3', 'E2F4', 'E2F5', 'MYBL2']
390	P2	6	Cellular senescence	['n31', 'n25', 'n118', 'n28', 'n29', 'n37']	['TP53', 'CDKN1A', 'CDK4', 'CDK6', 'CCND1', 'CCND2', 'CCND3', 'RB1', 'RBL1', 'RBL2', 'E2F1', 'E2F2', 'E2F3', 'E2F4', 'E2F5', 'FOXM1']
391	P2	2	Cellular senescence	['n58', 'n468']	['NFKB1', 'RELA', 'IL1A', 'IL6', 'CXCL8', 'SERPINE1', 'IGFBP3', 'TGFB1', 'TGFB2', 'TGFB3']
392	P2	4	Cellular senescence	['n60', 'n59', 'n58', 'n468']	['GATA4', 'TRAF3IP2', 'NFKB1', 'RELA', 'IL1A', 'IL6', 'CXCL8', 'SERPINE1', 'IGFBP3', 'TGFB1', 'TGFB2', 'TGFB3']
393	P2	4	Cellular senescence	['n60', 'n66', 'n58', 'n468']	['GATA4', 'IL1A', 'NFKB1', 'RELA', 'IL1A', 'IL6', 'CXCL8', 'SERPINE1', 'IGFBP3', 'TGFB1', 'TGFB2', 'TGFB3']
394	P2	6	Cellular senescence	['n88', 'n104', 'n117', 'n28', 'n29', 'n36']	['SMAD2', 'SMAD3', 'CDKN2B', 'CDK4', 'CDK6', 'CCND1', 'CCND2', 'CCND3', 'RB1', 'RBL1', 'RBL2', 'E2F1', 'E2F2', 'E2F3', 'E2F4', 'E2F5', 'MYBL2']
395	P2	6	Cellular senescence	['n88', 'n104', 'n117', 'n28', 'n29', 'n37']	['SMAD2', 'SMAD3', 'CDKN2B', 'CDK4', 'CDK6', 'CCND1', 'CCND2', 'CCND3', 'RB1', 'RBL1', 'RBL2', 'E2F1', 'E2F2', 'E2F3', 'E2F4', 'E2F5', 'FOXM1']
396	P2	6	Cellular senescence	['n123', 'n103', 'n122', 'n28', 'n29', 'n36']	['KIR2DL1', 'KIR2DL2', 'KIR2DL3', 'KIR2DL4', 'KIR2DL5A', 'HLA-A', 'HLA-B', 'HLA-C', 'HLA-E', 'HLA-F', 'HLA-G', 'CDKN1A', 'CDK2', 'CCNE1', 'CCNE2', 'RB1', 'RBL1', 'RBL2', 'E2F1', 'E2F2', 'E2F3', 'E2F4', 'E2F5', 'MYBL2']
397	P2	6	Cellular senescence	['n123', 'n103', 'n122', 'n28', 'n29', 'n37']	['KIR2DL1', 'KIR2DL2', 'KIR2DL3', 'KIR2DL4', 'KIR2DL5A', 'HLA-A', 'HLA-B', 'HLA-C', 'HLA-E', 'HLA-F', 'HLA-G', 'CDKN1A', 'CDK2', 'CCNE1', 'CCNE2', 'RB1', 'RBL1', 'RBL2', 'E2F1', 'E2F2', 'E2F3', 'E2F4', 'E2F5', 'FOXM1']
398	P2	6	Cellular senescence	['n124', 'n103', 'n122', 'n28', 'n29', 'n36']	['SMAD2', 'SMAD3', 'FOXO1', 'FOXO3', 'CDKN1A', 'CDK2', 'CCNE1', 'CCNE2', 'RB1', 'RBL1', 'RBL2', 'E2F1', 'E2F2', 'E2F3', 'E2F4', 'E2F5', 'MYBL2']
399	P2	6	Cellular senescence	['n124', 'n103', 'n122', 'n28', 'n29', 'n37']	['SMAD2', 'SMAD3', 'FOXO1', 'FOXO3', 'CDKN1A', 'CDK2', 'CCNE1', 'CCNE2', 'RB1', 'RBL1', 'RBL2', 'E2F1', 'E2F2', 'E2F3', 'E2F4', 'E2F5', 'FOXM1']
400	P1	3	cGMP-PKG signaling pathway	['n25', 'n26', 'n27']	['TRPC6', 'PPP3CA', 'PPP3CB', 'PPP3CC', 'PPP3R1', 'PPP3R2', 'NFATC1', 'NFATC2', 'NFATC3', 'NFATC4']
401	P1	9	cGMP-PKG signaling pathway	['n82', 'n75', 'n74', 'n50', 'n51', 'n52', 'n53', 'n8', 'n6', 'n7', 'n48']	['INS', 'INSR', 'IRS1', 'IRS4', 'IRS2', 'PIK3R6', 'PIK3R5', 'PIK3CG', 'AKT3', 'AKT1', 'AKT2', 'NOS3', 'C00533', 'GUCY1A2', 'GUCY1A1', 'GUCY1B1', 'C00942', 'PRKG1', 'PRKG2', 'GTF2I', 'GTF2IRD1']
402	P1	9	cGMP-PKG signaling pathway	['n82', 'n75', 'n74', 'n50', 'n51', 'n52', 'n53', 'n8', 'n6', 'n7', 'n42']	['INS', 'INSR', 'IRS1', 'IRS4', 'IRS2', 'PIK3R6', 'PIK3R5', 'PIK3CG', 'AKT3', 'AKT1', 'AKT2', 'NOS3', 'C00533', 'GUCY1A2', 'GUCY1A1', 'GUCY1B1', 'C00942', 'PRKG1', 'PRKG2', 'CREB3', 'CREB1', 'ATF2', 'ATF6B', 'CREB3L4', 'ATF4', 'CREB3L2', 'CREB3L3', 'CREB3L1', 'CREB5']
403	P1	11	cGMP-PKG signaling pathway	['n82', 'n75', 'n74', 'n50', 'n51', 'n52', 'n53', 'n8', 'n6', 'n7', 'n25', 'n26', 'n27']	['INS', 'INSR', 'IRS1', 'IRS4', 'IRS2', 'PIK3R6', 'PIK3R5', 'PIK3CG', 'AKT3', 'AKT1', 'AKT2', 'NOS3', 'C00533', 'GUCY1A2', 'GUCY1A1', 'GUCY1B1', 'C00942', 'PRKG1', 'PRKG2', 'TRPC6', 'PPP3CA', 'PPP3CB', 'PPP3CC', 'PPP3R1', 'PPP3R2', 'NFATC1', 'NFATC2', 'NFATC3', 'NFATC4']
404	P2	2	cGMP-PKG signaling pathway	['n27', 'n322']	['NFATC1', 'NFATC2', 'NFATC3', 'NFATC4', 'TRPC6', 'NPPB', 'MYH6', 'MYH7']
