DRRID	C2-R2-ID	C2-R2-PW	C2-R2-TYPE	C2-R2-ids	C2-R2-genes	C2-R2-RRecetors-ids	C2-R2-RRecetors-genes	C2-R2-RReceptors-type	C2-R2-RLigands-ids	C2-R2-RLigands-genes	C2-R2-RLigands-type	SocketPairs_Receptor
6483	Route487	cAMP signaling pathway	P1	n404,n15,n16,n18,n22,n19,n62,n111	EDN1,EDN2,EDN3,SST,C01996,C01089,C00186,C00334,C20793,C00042,NPY,GHRL,OXT,CHRM1,CHRM2,ADORA1,ADRB2,DRD2,EDNRA,GABBR1,GHSR,HCAR1,FFAR2,HTR1A,HTR1B,HTR1D,HTR1E,HTR1F,HCAR2,NPY1R,OXTR,SUCNR1,PTGER3,SSTR1,SSTR2,SSTR5,HCAR3,GABBR2,GNAI1,GNAI2,GNAI3,ADCY1,ADCY2,ADCY3,ADCY5,ADCY6,ADCY7,ADCY8,ADCY9,ADCY4,C00575 (cAMP),PRKACA,PRKACB,PRKACG,BAD,Apoptosis	n15	CHRM1,CHRM2,ADORA1,ADRB2,DRD2,EDNRA,GABBR1,GHSR,HCAR1,FFAR2,HTR1A,HTR1B,HTR1D,HTR1E,HTR1F,HCAR2,NPY1R,OXTR,SUCNR1,PTGER3,SSTR1,SSTR2,SSTR5,HCAR3,GABBR2	OR_bundle	n404	EDN1,EDN2,EDN3,SST,C01996,C01089,C00186,C00334,C20793,C00042,NPY,GHRL,OXT	OR_bundle	SSTR2
6484	Route487	cAMP signaling pathway	P1	n404,n15,n16,n18,n22,n19,n62,n111	EDN1,EDN2,EDN3,SST,C01996,C01089,C00186,C00334,C20793,C00042,NPY,GHRL,OXT,CHRM1,CHRM2,ADORA1,ADRB2,DRD2,EDNRA,GABBR1,GHSR,HCAR1,FFAR2,HTR1A,HTR1B,HTR1D,HTR1E,HTR1F,HCAR2,NPY1R,OXTR,SUCNR1,PTGER3,SSTR1,SSTR2,SSTR5,HCAR3,GABBR2,GNAI1,GNAI2,GNAI3,ADCY1,ADCY2,ADCY3,ADCY5,ADCY6,ADCY7,ADCY8,ADCY9,ADCY4,C00575 (cAMP),PRKACA,PRKACB,PRKACG,BAD,Apoptosis	n15	CHRM1,CHRM2,ADORA1,ADRB2,DRD2,EDNRA,GABBR1,GHSR,HCAR1,FFAR2,HTR1A,HTR1B,HTR1D,HTR1E,HTR1F,HCAR2,NPY1R,OXTR,SUCNR1,PTGER3,SSTR1,SSTR2,SSTR5,HCAR3,GABBR2	OR_bundle	n404	EDN1,EDN2,EDN3,SST,C01996,C01089,C00186,C00334,C20793,C00042,NPY,GHRL,OXT	OR_bundle	SSTR5
6485	Route487	cAMP signaling pathway	P1	n404,n15,n16,n18,n22,n19,n62,n111	EDN1,EDN2,EDN3,SST,C01996,C01089,C00186,C00334,C20793,C00042,NPY,GHRL,OXT,CHRM1,CHRM2,ADORA1,ADRB2,DRD2,EDNRA,GABBR1,GHSR,HCAR1,FFAR2,HTR1A,HTR1B,HTR1D,HTR1E,HTR1F,HCAR2,NPY1R,OXTR,SUCNR1,PTGER3,SSTR1,SSTR2,SSTR5,HCAR3,GABBR2,GNAI1,GNAI2,GNAI3,ADCY1,ADCY2,ADCY3,ADCY5,ADCY6,ADCY7,ADCY8,ADCY9,ADCY4,C00575 (cAMP),PRKACA,PRKACB,PRKACG,BAD,Apoptosis	n15	CHRM1,CHRM2,ADORA1,ADRB2,DRD2,EDNRA,GABBR1,GHSR,HCAR1,FFAR2,HTR1A,HTR1B,HTR1D,HTR1E,HTR1F,HCAR2,NPY1R,OXTR,SUCNR1,PTGER3,SSTR1,SSTR2,SSTR5,HCAR3,GABBR2	OR_bundle	n404	EDN1,EDN2,EDN3,SST,C01996,C01089,C00186,C00334,C20793,C00042,NPY,GHRL,OXT	OR_bundle	GABBR2
6486	Route488	cAMP signaling pathway	P1	n404,n15,n16,n18,n22,n19,n97,n98,n44	EDN1,EDN2,EDN3,SST,C01996,C01089,C00186,C00334,C20793,C00042,NPY,GHRL,OXT,CHRM1,CHRM2,ADORA1,ADRB2,DRD2,EDNRA,GABBR1,GHSR,HCAR1,FFAR2,HTR1A,HTR1B,HTR1D,HTR1E,HTR1F,HCAR2,NPY1R,OXTR,SUCNR1,PTGER3,SSTR1,SSTR2,SSTR5,HCAR3,GABBR2,GNAI1,GNAI2,GNAI3,ADCY1,ADCY2,ADCY3,ADCY5,ADCY6,ADCY7,ADCY8,ADCY9,ADCY4,C00575 (cAMP),PRKACA,PRKACB,PRKACG,PPP1R1B,PPP1CA,PPP1CB,PPP1CC,CREB3,CREB1,CREB3L4,CREB3L2,CREB3L3,CREB3L1,CREB5	n15	CHRM1,CHRM2,ADORA1,ADRB2,DRD2,EDNRA,GABBR1,GHSR,HCAR1,FFAR2,HTR1A,HTR1B,HTR1D,HTR1E,HTR1F,HCAR2,NPY1R,OXTR,SUCNR1,PTGER3,SSTR1,SSTR2,SSTR5,HCAR3,GABBR2	OR_bundle	n404	EDN1,EDN2,EDN3,SST,C01996,C01089,C00186,C00334,C20793,C00042,NPY,GHRL,OXT	OR_bundle	CHRM1,CHRM2,ADORA1,ADRB2,DRD2,EDNRA,GABBR1,GHSR,HCAR1,FFAR2,HTR1A,HTR1B,HTR1D,HTR1E,HTR1F,HCAR2,NPY1R,OXTR,SUCNR1,PTGER3,SSTR1,SSTR2,SSTR5,HCAR3,GABBR2
6487	Route488	cAMP signaling pathway	P1	n404,n15,n16,n18,n22,n19,n97,n98,n44	EDN1,EDN2,EDN3,SST,C01996,C01089,C00186,C00334,C20793,C00042,NPY,GHRL,OXT,CHRM1,CHRM2,ADORA1,ADRB2,DRD2,EDNRA,GABBR1,GHSR,HCAR1,FFAR2,HTR1A,HTR1B,HTR1D,HTR1E,HTR1F,HCAR2,NPY1R,OXTR,SUCNR1,PTGER3,SSTR1,SSTR2,SSTR5,HCAR3,GABBR2,GNAI1,GNAI2,GNAI3,ADCY1,ADCY2,ADCY3,ADCY5,ADCY6,ADCY7,ADCY8,ADCY9,ADCY4,C00575 (cAMP),PRKACA,PRKACB,PRKACG,PPP1R1B,PPP1CA,PPP1CB,PPP1CC,CREB3,CREB1,CREB3L4,CREB3L2,CREB3L3,CREB3L1,CREB5	n15	CHRM1,CHRM2,ADORA1,ADRB2,DRD2,EDNRA,GABBR1,GHSR,HCAR1,FFAR2,HTR1A,HTR1B,HTR1D,HTR1E,HTR1F,HCAR2,NPY1R,OXTR,SUCNR1,PTGER3,SSTR1,SSTR2,SSTR5,HCAR3,GABBR2	OR_bundle	n404	EDN1,EDN2,EDN3,SST,C01996,C01089,C00186,C00334,C20793,C00042,NPY,GHRL,OXT	OR_bundle	CHRM1
6488	Route488	cAMP signaling pathway	P1	n404,n15,n16,n18,n22,n19,n97,n98,n44	EDN1,EDN2,EDN3,SST,C01996,C01089,C00186,C00334,C20793,C00042,NPY,GHRL,OXT,CHRM1,CHRM2,ADORA1,ADRB2,DRD2,EDNRA,GABBR1,GHSR,HCAR1,FFAR2,HTR1A,HTR1B,HTR1D,HTR1E,HTR1F,HCAR2,NPY1R,OXTR,SUCNR1,PTGER3,SSTR1,SSTR2,SSTR5,HCAR3,GABBR2,GNAI1,GNAI2,GNAI3,ADCY1,ADCY2,ADCY3,ADCY5,ADCY6,ADCY7,ADCY8,ADCY9,ADCY4,C00575 (cAMP),PRKACA,PRKACB,PRKACG,PPP1R1B,PPP1CA,PPP1CB,PPP1CC,CREB3,CREB1,CREB3L4,CREB3L2,CREB3L3,CREB3L1,CREB5	n15	CHRM1,CHRM2,ADORA1,ADRB2,DRD2,EDNRA,GABBR1,GHSR,HCAR1,FFAR2,HTR1A,HTR1B,HTR1D,HTR1E,HTR1F,HCAR2,NPY1R,OXTR,SUCNR1,PTGER3,SSTR1,SSTR2,SSTR5,HCAR3,GABBR2	OR_bundle	n404	EDN1,EDN2,EDN3,SST,C01996,C01089,C00186,C00334,C20793,C00042,NPY,GHRL,OXT	OR_bundle	ADORA1
6489	Route488	cAMP signaling pathway	P1	n404,n15,n16,n18,n22,n19,n97,n98,n44	EDN1,EDN2,EDN3,SST,C01996,C01089,C00186,C00334,C20793,C00042,NPY,GHRL,OXT,CHRM1,CHRM2,ADORA1,ADRB2,DRD2,EDNRA,GABBR1,GHSR,HCAR1,FFAR2,HTR1A,HTR1B,HTR1D,HTR1E,HTR1F,HCAR2,NPY1R,OXTR,SUCNR1,PTGER3,SSTR1,SSTR2,SSTR5,HCAR3,GABBR2,GNAI1,GNAI2,GNAI3,ADCY1,ADCY2,ADCY3,ADCY5,ADCY6,ADCY7,ADCY8,ADCY9,ADCY4,C00575 (cAMP),PRKACA,PRKACB,PRKACG,PPP1R1B,PPP1CA,PPP1CB,PPP1CC,CREB3,CREB1,CREB3L4,CREB3L2,CREB3L3,CREB3L1,CREB5	n15	CHRM1,CHRM2,ADORA1,ADRB2,DRD2,EDNRA,GABBR1,GHSR,HCAR1,FFAR2,HTR1A,HTR1B,HTR1D,HTR1E,HTR1F,HCAR2,NPY1R,OXTR,SUCNR1,PTGER3,SSTR1,SSTR2,SSTR5,HCAR3,GABBR2	OR_bundle	n404	EDN1,EDN2,EDN3,SST,C01996,C01089,C00186,C00334,C20793,C00042,NPY,GHRL,OXT	OR_bundle	ADRB2
6490	Route488	cAMP signaling pathway	P1	n404,n15,n16,n18,n22,n19,n97,n98,n44	EDN1,EDN2,EDN3,SST,C01996,C01089,C00186,C00334,C20793,C00042,NPY,GHRL,OXT,CHRM1,CHRM2,ADORA1,ADRB2,DRD2,EDNRA,GABBR1,GHSR,HCAR1,FFAR2,HTR1A,HTR1B,HTR1D,HTR1E,HTR1F,HCAR2,NPY1R,OXTR,SUCNR1,PTGER3,SSTR1,SSTR2,SSTR5,HCAR3,GABBR2,GNAI1,GNAI2,GNAI3,ADCY1,ADCY2,ADCY3,ADCY5,ADCY6,ADCY7,ADCY8,ADCY9,ADCY4,C00575 (cAMP),PRKACA,PRKACB,PRKACG,PPP1R1B,PPP1CA,PPP1CB,PPP1CC,CREB3,CREB1,CREB3L4,CREB3L2,CREB3L3,CREB3L1,CREB5	n15	CHRM1,CHRM2,ADORA1,ADRB2,DRD2,EDNRA,GABBR1,GHSR,HCAR1,FFAR2,HTR1A,HTR1B,HTR1D,HTR1E,HTR1F,HCAR2,NPY1R,OXTR,SUCNR1,PTGER3,SSTR1,SSTR2,SSTR5,HCAR3,GABBR2	OR_bundle	n404	EDN1,EDN2,EDN3,SST,C01996,C01089,C00186,C00334,C20793,C00042,NPY,GHRL,OXT	OR_bundle	DRD2
6491	Route488	cAMP signaling pathway	P1	n404,n15,n16,n18,n22,n19,n97,n98,n44	EDN1,EDN2,EDN3,SST,C01996,C01089,C00186,C00334,C20793,C00042,NPY,GHRL,OXT,CHRM1,CHRM2,ADORA1,ADRB2,DRD2,EDNRA,GABBR1,GHSR,HCAR1,FFAR2,HTR1A,HTR1B,HTR1D,HTR1E,HTR1F,HCAR2,NPY1R,OXTR,SUCNR1,PTGER3,SSTR1,SSTR2,SSTR5,HCAR3,GABBR2,GNAI1,GNAI2,GNAI3,ADCY1,ADCY2,ADCY3,ADCY5,ADCY6,ADCY7,ADCY8,ADCY9,ADCY4,C00575 (cAMP),PRKACA,PRKACB,PRKACG,PPP1R1B,PPP1CA,PPP1CB,PPP1CC,CREB3,CREB1,CREB3L4,CREB3L2,CREB3L3,CREB3L1,CREB5	n15	CHRM1,CHRM2,ADORA1,ADRB2,DRD2,EDNRA,GABBR1,GHSR,HCAR1,FFAR2,HTR1A,HTR1B,HTR1D,HTR1E,HTR1F,HCAR2,NPY1R,OXTR,SUCNR1,PTGER3,SSTR1,SSTR2,SSTR5,HCAR3,GABBR2	OR_bundle	n404	EDN1,EDN2,EDN3,SST,C01996,C01089,C00186,C00334,C20793,C00042,NPY,GHRL,OXT	OR_bundle	EDNRA
6492	Route488	cAMP signaling pathway	P1	n404,n15,n16,n18,n22,n19,n97,n98,n44	EDN1,EDN2,EDN3,SST,C01996,C01089,C00186,C00334,C20793,C00042,NPY,GHRL,OXT,CHRM1,CHRM2,ADORA1,ADRB2,DRD2,EDNRA,GABBR1,GHSR,HCAR1,FFAR2,HTR1A,HTR1B,HTR1D,HTR1E,HTR1F,HCAR2,NPY1R,OXTR,SUCNR1,PTGER3,SSTR1,SSTR2,SSTR5,HCAR3,GABBR2,GNAI1,GNAI2,GNAI3,ADCY1,ADCY2,ADCY3,ADCY5,ADCY6,ADCY7,ADCY8,ADCY9,ADCY4,C00575 (cAMP),PRKACA,PRKACB,PRKACG,PPP1R1B,PPP1CA,PPP1CB,PPP1CC,CREB3,CREB1,CREB3L4,CREB3L2,CREB3L3,CREB3L1,CREB5	n15	CHRM1,CHRM2,ADORA1,ADRB2,DRD2,EDNRA,GABBR1,GHSR,HCAR1,FFAR2,HTR1A,HTR1B,HTR1D,HTR1E,HTR1F,HCAR2,NPY1R,OXTR,SUCNR1,PTGER3,SSTR1,SSTR2,SSTR5,HCAR3,GABBR2	OR_bundle	n404	EDN1,EDN2,EDN3,SST,C01996,C01089,C00186,C00334,C20793,C00042,NPY,GHRL,OXT	OR_bundle	GHSR
6493	Route488	cAMP signaling pathway	P1	n404,n15,n16,n18,n22,n19,n97,n98,n44	EDN1,EDN2,EDN3,SST,C01996,C01089,C00186,C00334,C20793,C00042,NPY,GHRL,OXT,CHRM1,CHRM2,ADORA1,ADRB2,DRD2,EDNRA,GABBR1,GHSR,HCAR1,FFAR2,HTR1A,HTR1B,HTR1D,HTR1E,HTR1F,HCAR2,NPY1R,OXTR,SUCNR1,PTGER3,SSTR1,SSTR2,SSTR5,HCAR3,GABBR2,GNAI1,GNAI2,GNAI3,ADCY1,ADCY2,ADCY3,ADCY5,ADCY6,ADCY7,ADCY8,ADCY9,ADCY4,C00575 (cAMP),PRKACA,PRKACB,PRKACG,PPP1R1B,PPP1CA,PPP1CB,PPP1CC,CREB3,CREB1,CREB3L4,CREB3L2,CREB3L3,CREB3L1,CREB5	n15	CHRM1,CHRM2,ADORA1,ADRB2,DRD2,EDNRA,GABBR1,GHSR,HCAR1,FFAR2,HTR1A,HTR1B,HTR1D,HTR1E,HTR1F,HCAR2,NPY1R,OXTR,SUCNR1,PTGER3,SSTR1,SSTR2,SSTR5,HCAR3,GABBR2	OR_bundle	n404	EDN1,EDN2,EDN3,SST,C01996,C01089,C00186,C00334,C20793,C00042,NPY,GHRL,OXT	OR_bundle	FFAR2
6494	Route488	cAMP signaling pathway	P1	n404,n15,n16,n18,n22,n19,n97,n98,n44	EDN1,EDN2,EDN3,SST,C01996,C01089,C00186,C00334,C20793,C00042,NPY,GHRL,OXT,CHRM1,CHRM2,ADORA1,ADRB2,DRD2,EDNRA,GABBR1,GHSR,HCAR1,FFAR2,HTR1A,HTR1B,HTR1D,HTR1E,HTR1F,HCAR2,NPY1R,OXTR,SUCNR1,PTGER3,SSTR1,SSTR2,SSTR5,HCAR3,GABBR2,GNAI1,GNAI2,GNAI3,ADCY1,ADCY2,ADCY3,ADCY5,ADCY6,ADCY7,ADCY8,ADCY9,ADCY4,C00575 (cAMP),PRKACA,PRKACB,PRKACG,PPP1R1B,PPP1CA,PPP1CB,PPP1CC,CREB3,CREB1,CREB3L4,CREB3L2,CREB3L3,CREB3L1,CREB5	n15	CHRM1,CHRM2,ADORA1,ADRB2,DRD2,EDNRA,GABBR1,GHSR,HCAR1,FFAR2,HTR1A,HTR1B,HTR1D,HTR1E,HTR1F,HCAR2,NPY1R,OXTR,SUCNR1,PTGER3,SSTR1,SSTR2,SSTR5,HCAR3,GABBR2	OR_bundle	n404	EDN1,EDN2,EDN3,SST,C01996,C01089,C00186,C00334,C20793,C00042,NPY,GHRL,OXT	OR_bundle	HTR1A
6495	Route488	cAMP signaling pathway	P1	n404,n15,n16,n18,n22,n19,n97,n98,n44	EDN1,EDN2,EDN3,SST,C01996,C01089,C00186,C00334,C20793,C00042,NPY,GHRL,OXT,CHRM1,CHRM2,ADORA1,ADRB2,DRD2,EDNRA,GABBR1,GHSR,HCAR1,FFAR2,HTR1A,HTR1B,HTR1D,HTR1E,HTR1F,HCAR2,NPY1R,OXTR,SUCNR1,PTGER3,SSTR1,SSTR2,SSTR5,HCAR3,GABBR2,GNAI1,GNAI2,GNAI3,ADCY1,ADCY2,ADCY3,ADCY5,ADCY6,ADCY7,ADCY8,ADCY9,ADCY4,C00575 (cAMP),PRKACA,PRKACB,PRKACG,PPP1R1B,PPP1CA,PPP1CB,PPP1CC,CREB3,CREB1,CREB3L4,CREB3L2,CREB3L3,CREB3L1,CREB5	n15	CHRM1,CHRM2,ADORA1,ADRB2,DRD2,EDNRA,GABBR1,GHSR,HCAR1,FFAR2,HTR1A,HTR1B,HTR1D,HTR1E,HTR1F,HCAR2,NPY1R,OXTR,SUCNR1,PTGER3,SSTR1,SSTR2,SSTR5,HCAR3,GABBR2	OR_bundle	n404	EDN1,EDN2,EDN3,SST,C01996,C01089,C00186,C00334,C20793,C00042,NPY,GHRL,OXT	OR_bundle	HTR1B
6496	Route488	cAMP signaling pathway	P1	n404,n15,n16,n18,n22,n19,n97,n98,n44	EDN1,EDN2,EDN3,SST,C01996,C01089,C00186,C00334,C20793,C00042,NPY,GHRL,OXT,CHRM1,CHRM2,ADORA1,ADRB2,DRD2,EDNRA,GABBR1,GHSR,HCAR1,FFAR2,HTR1A,HTR1B,HTR1D,HTR1E,HTR1F,HCAR2,NPY1R,OXTR,SUCNR1,PTGER3,SSTR1,SSTR2,SSTR5,HCAR3,GABBR2,GNAI1,GNAI2,GNAI3,ADCY1,ADCY2,ADCY3,ADCY5,ADCY6,ADCY7,ADCY8,ADCY9,ADCY4,C00575 (cAMP),PRKACA,PRKACB,PRKACG,PPP1R1B,PPP1CA,PPP1CB,PPP1CC,CREB3,CREB1,CREB3L4,CREB3L2,CREB3L3,CREB3L1,CREB5	n15	CHRM1,CHRM2,ADORA1,ADRB2,DRD2,EDNRA,GABBR1,GHSR,HCAR1,FFAR2,HTR1A,HTR1B,HTR1D,HTR1E,HTR1F,HCAR2,NPY1R,OXTR,SUCNR1,PTGER3,SSTR1,SSTR2,SSTR5,HCAR3,GABBR2	OR_bundle	n404	EDN1,EDN2,EDN3,SST,C01996,C01089,C00186,C00334,C20793,C00042,NPY,GHRL,OXT	OR_bundle	HTR1D
6497	Route488	cAMP signaling pathway	P1	n404,n15,n16,n18,n22,n19,n97,n98,n44	EDN1,EDN2,EDN3,SST,C01996,C01089,C00186,C00334,C20793,C00042,NPY,GHRL,OXT,CHRM1,CHRM2,ADORA1,ADRB2,DRD2,EDNRA,GABBR1,GHSR,HCAR1,FFAR2,HTR1A,HTR1B,HTR1D,HTR1E,HTR1F,HCAR2,NPY1R,OXTR,SUCNR1,PTGER3,SSTR1,SSTR2,SSTR5,HCAR3,GABBR2,GNAI1,GNAI2,GNAI3,ADCY1,ADCY2,ADCY3,ADCY5,ADCY6,ADCY7,ADCY8,ADCY9,ADCY4,C00575 (cAMP),PRKACA,PRKACB,PRKACG,PPP1R1B,PPP1CA,PPP1CB,PPP1CC,CREB3,CREB1,CREB3L4,CREB3L2,CREB3L3,CREB3L1,CREB5	n15	CHRM1,CHRM2,ADORA1,ADRB2,DRD2,EDNRA,GABBR1,GHSR,HCAR1,FFAR2,HTR1A,HTR1B,HTR1D,HTR1E,HTR1F,HCAR2,NPY1R,OXTR,SUCNR1,PTGER3,SSTR1,SSTR2,SSTR5,HCAR3,GABBR2	OR_bundle	n404	EDN1,EDN2,EDN3,SST,C01996,C01089,C00186,C00334,C20793,C00042,NPY,GHRL,OXT	OR_bundle	HTR1E
6498	Route488	cAMP signaling pathway	P1	n404,n15,n16,n18,n22,n19,n97,n98,n44	EDN1,EDN2,EDN3,SST,C01996,C01089,C00186,C00334,C20793,C00042,NPY,GHRL,OXT,CHRM1,CHRM2,ADORA1,ADRB2,DRD2,EDNRA,GABBR1,GHSR,HCAR1,FFAR2,HTR1A,HTR1B,HTR1D,HTR1E,HTR1F,HCAR2,NPY1R,OXTR,SUCNR1,PTGER3,SSTR1,SSTR2,SSTR5,HCAR3,GABBR2,GNAI1,GNAI2,GNAI3,ADCY1,ADCY2,ADCY3,ADCY5,ADCY6,ADCY7,ADCY8,ADCY9,ADCY4,C00575 (cAMP),PRKACA,PRKACB,PRKACG,PPP1R1B,PPP1CA,PPP1CB,PPP1CC,CREB3,CREB1,CREB3L4,CREB3L2,CREB3L3,CREB3L1,CREB5	n15	CHRM1,CHRM2,ADORA1,ADRB2,DRD2,EDNRA,GABBR1,GHSR,HCAR1,FFAR2,HTR1A,HTR1B,HTR1D,HTR1E,HTR1F,HCAR2,NPY1R,OXTR,SUCNR1,PTGER3,SSTR1,SSTR2,SSTR5,HCAR3,GABBR2	OR_bundle	n404	EDN1,EDN2,EDN3,SST,C01996,C01089,C00186,C00334,C20793,C00042,NPY,GHRL,OXT	OR_bundle	HTR1F
6499	Route488	cAMP signaling pathway	P1	n404,n15,n16,n18,n22,n19,n97,n98,n44	EDN1,EDN2,EDN3,SST,C01996,C01089,C00186,C00334,C20793,C00042,NPY,GHRL,OXT,CHRM1,CHRM2,ADORA1,ADRB2,DRD2,EDNRA,GABBR1,GHSR,HCAR1,FFAR2,HTR1A,HTR1B,HTR1D,HTR1E,HTR1F,HCAR2,NPY1R,OXTR,SUCNR1,PTGER3,SSTR1,SSTR2,SSTR5,HCAR3,GABBR2,GNAI1,GNAI2,GNAI3,ADCY1,ADCY2,ADCY3,ADCY5,ADCY6,ADCY7,ADCY8,ADCY9,ADCY4,C00575 (cAMP),PRKACA,PRKACB,PRKACG,PPP1R1B,PPP1CA,PPP1CB,PPP1CC,CREB3,CREB1,CREB3L4,CREB3L2,CREB3L3,CREB3L1,CREB5	n15	CHRM1,CHRM2,ADORA1,ADRB2,DRD2,EDNRA,GABBR1,GHSR,HCAR1,FFAR2,HTR1A,HTR1B,HTR1D,HTR1E,HTR1F,HCAR2,NPY1R,OXTR,SUCNR1,PTGER3,SSTR1,SSTR2,SSTR5,HCAR3,GABBR2	OR_bundle	n404	EDN1,EDN2,EDN3,SST,C01996,C01089,C00186,C00334,C20793,C00042,NPY,GHRL,OXT	OR_bundle	NPY1R
6500	Route488	cAMP signaling pathway	P1	n404,n15,n16,n18,n22,n19,n97,n98,n44	EDN1,EDN2,EDN3,SST,C01996,C01089,C00186,C00334,C20793,C00042,NPY,GHRL,OXT,CHRM1,CHRM2,ADORA1,ADRB2,DRD2,EDNRA,GABBR1,GHSR,HCAR1,FFAR2,HTR1A,HTR1B,HTR1D,HTR1E,HTR1F,HCAR2,NPY1R,OXTR,SUCNR1,PTGER3,SSTR1,SSTR2,SSTR5,HCAR3,GABBR2,GNAI1,GNAI2,GNAI3,ADCY1,ADCY2,ADCY3,ADCY5,ADCY6,ADCY7,ADCY8,ADCY9,ADCY4,C00575 (cAMP),PRKACA,PRKACB,PRKACG,PPP1R1B,PPP1CA,PPP1CB,PPP1CC,CREB3,CREB1,CREB3L4,CREB3L2,CREB3L3,CREB3L1,CREB5	n15	CHRM1,CHRM2,ADORA1,ADRB2,DRD2,EDNRA,GABBR1,GHSR,HCAR1,FFAR2,HTR1A,HTR1B,HTR1D,HTR1E,HTR1F,HCAR2,NPY1R,OXTR,SUCNR1,PTGER3,SSTR1,SSTR2,SSTR5,HCAR3,GABBR2	OR_bundle	n404	EDN1,EDN2,EDN3,SST,C01996,C01089,C00186,C00334,C20793,C00042,NPY,GHRL,OXT	OR_bundle	OXTR
6501	Route488	cAMP signaling pathway	P1	n404,n15,n16,n18,n22,n19,n97,n98,n44	EDN1,EDN2,EDN3,SST,C01996,C01089,C00186,C00334,C20793,C00042,NPY,GHRL,OXT,CHRM1,CHRM2,ADORA1,ADRB2,DRD2,EDNRA,GABBR1,GHSR,HCAR1,FFAR2,HTR1A,HTR1B,HTR1D,HTR1E,HTR1F,HCAR2,NPY1R,OXTR,SUCNR1,PTGER3,SSTR1,SSTR2,SSTR5,HCAR3,GABBR2,GNAI1,GNAI2,GNAI3,ADCY1,ADCY2,ADCY3,ADCY5,ADCY6,ADCY7,ADCY8,ADCY9,ADCY4,C00575 (cAMP),PRKACA,PRKACB,PRKACG,PPP1R1B,PPP1CA,PPP1CB,PPP1CC,CREB3,CREB1,CREB3L4,CREB3L2,CREB3L3,CREB3L1,CREB5	n15	CHRM1,CHRM2,ADORA1,ADRB2,DRD2,EDNRA,GABBR1,GHSR,HCAR1,FFAR2,HTR1A,HTR1B,HTR1D,HTR1E,HTR1F,HCAR2,NPY1R,OXTR,SUCNR1,PTGER3,SSTR1,SSTR2,SSTR5,HCAR3,GABBR2	OR_bundle	n404	EDN1,EDN2,EDN3,SST,C01996,C01089,C00186,C00334,C20793,C00042,NPY,GHRL,OXT	OR_bundle	PTGER3
6502	Route488	cAMP signaling pathway	P1	n404,n15,n16,n18,n22,n19,n97,n98,n44	EDN1,EDN2,EDN3,SST,C01996,C01089,C00186,C00334,C20793,C00042,NPY,GHRL,OXT,CHRM1,CHRM2,ADORA1,ADRB2,DRD2,EDNRA,GABBR1,GHSR,HCAR1,FFAR2,HTR1A,HTR1B,HTR1D,HTR1E,HTR1F,HCAR2,NPY1R,OXTR,SUCNR1,PTGER3,SSTR1,SSTR2,SSTR5,HCAR3,GABBR2,GNAI1,GNAI2,GNAI3,ADCY1,ADCY2,ADCY3,ADCY5,ADCY6,ADCY7,ADCY8,ADCY9,ADCY4,C00575 (cAMP),PRKACA,PRKACB,PRKACG,PPP1R1B,PPP1CA,PPP1CB,PPP1CC,CREB3,CREB1,CREB3L4,CREB3L2,CREB3L3,CREB3L1,CREB5	n15	CHRM1,CHRM2,ADORA1,ADRB2,DRD2,EDNRA,GABBR1,GHSR,HCAR1,FFAR2,HTR1A,HTR1B,HTR1D,HTR1E,HTR1F,HCAR2,NPY1R,OXTR,SUCNR1,PTGER3,SSTR1,SSTR2,SSTR5,HCAR3,GABBR2	OR_bundle	n404	EDN1,EDN2,EDN3,SST,C01996,C01089,C00186,C00334,C20793,C00042,NPY,GHRL,OXT	OR_bundle	SSTR1
6503	Route488	cAMP signaling pathway	P1	n404,n15,n16,n18,n22,n19,n97,n98,n44	EDN1,EDN2,EDN3,SST,C01996,C01089,C00186,C00334,C20793,C00042,NPY,GHRL,OXT,CHRM1,CHRM2,ADORA1,ADRB2,DRD2,EDNRA,GABBR1,GHSR,HCAR1,FFAR2,HTR1A,HTR1B,HTR1D,HTR1E,HTR1F,HCAR2,NPY1R,OXTR,SUCNR1,PTGER3,SSTR1,SSTR2,SSTR5,HCAR3,GABBR2,GNAI1,GNAI2,GNAI3,ADCY1,ADCY2,ADCY3,ADCY5,ADCY6,ADCY7,ADCY8,ADCY9,ADCY4,C00575 (cAMP),PRKACA,PRKACB,PRKACG,PPP1R1B,PPP1CA,PPP1CB,PPP1CC,CREB3,CREB1,CREB3L4,CREB3L2,CREB3L3,CREB3L1,CREB5	n15	CHRM1,CHRM2,ADORA1,ADRB2,DRD2,EDNRA,GABBR1,GHSR,HCAR1,FFAR2,HTR1A,HTR1B,HTR1D,HTR1E,HTR1F,HCAR2,NPY1R,OXTR,SUCNR1,PTGER3,SSTR1,SSTR2,SSTR5,HCAR3,GABBR2	OR_bundle	n404	EDN1,EDN2,EDN3,SST,C01996,C01089,C00186,C00334,C20793,C00042,NPY,GHRL,OXT	OR_bundle	SSTR2
